CNC Machine Opened at 07/07/2012 16:13:10
07/07/2012 16:13:13: Drill Location = (0, 0, 0); Message: UART Open
07/07/2012 16:13:14: Drill Location = (0, 0, 0); Message: Data Sent: B
07/07/2012 16:13:14: Drill Location = (0, 0, 0); Message: Data Sent: R
07/07/2012 16:13:14: Drill Location = (0, 0, 0); Message: Data Sent: E
07/07/2012 16:13:14: Drill Location = (0, 0, 0); Message: Data Sent: BRE
07/07/2012 16:13:14: Drill Location = (0, 0, 0); Message: Received: D
07/07/2012 16:13:15: Drill Location = (0, 0, 0); Message: Data Sent: B
07/07/2012 16:13:15: Drill Location = (0, 0, 0); Message: Data Sent: Z
07/07/2012 16:13:15: Drill Location = (0, 0, 1); Message: Data Sent: E
07/07/2012 16:13:15: Drill Location = (0, 0, 1); Message: Data Sent: BZE
07/07/2012 16:13:15: Drill Location = (0, 0, 1); Message: Received: D
07/07/2012 16:13:15: Drill Location = (0, 0, 1); Message: Data Sent: B
07/07/2012 16:13:15: Drill Location = (0, 0, 1); Message: Data Sent: Z
07/07/2012 16:13:15: Drill Location = (0, 0, 2); Message: Data Sent: E
07/07/2012 16:13:15: Drill Location = (0, 0, 2); Message: Data Sent: BZE
07/07/2012 16:13:16: Drill Location = (0, 0, 2); Message: Data Sent: B
07/07/2012 16:13:16: Drill Location = (0, 0, 2); Message: Data Sent: Z
07/07/2012 16:13:16: Drill Location = (0, 0, 3); Message: Data Sent: E
07/07/2012 16:13:16: Drill Location = (0, 0, 3); Message: Data Sent: BZE
07/07/2012 16:13:16: Drill Location = (0, 0, 3); Message: Received: D
07/07/2012 16:13:16: Drill Location = (0, 0, 3); Message: Data Sent: B
07/07/2012 16:13:16: Drill Location = (0, 0, 3); Message: Data Sent: Z
07/07/2012 16:13:16: Drill Location = (0, 0, 4); Message: Data Sent: E
07/07/2012 16:13:16: Drill Location = (0, 0, 4); Message: Data Sent: BZE
07/07/2012 16:13:16: Drill Location = (0, 0, 4); Message: Data Sent: B
07/07/2012 16:13:16: Drill Location = (0, 0, 4); Message: Data Sent: Z
07/07/2012 16:13:16: Drill Location = (0, 0, 5); Message: Data Sent: E
07/07/2012 16:13:16: Drill Location = (0, 0, 5); Message: Data Sent: BZE
07/07/2012 16:13:16: Drill Location = (0, 0, 5); Message: Received: D
07/07/2012 16:13:16: Drill Location = (0, 0, 5); Message: Data Sent: B
07/07/2012 16:13:16: Drill Location = (0, 0, 5); Message: Data Sent: Z
07/07/2012 16:13:16: Drill Location = (0, 0, 6); Message: Data Sent: E
07/07/2012 16:13:16: Drill Location = (0, 0, 6); Message: Data Sent: BZE
07/07/2012 16:13:17: Drill Location = (0, 0, 6); Message: Received: D
07/07/2012 16:13:17: Drill Location = (0, 0, 6); Message: Data Sent: B
07/07/2012 16:13:17: Drill Location = (0, 0, 6); Message: Data Sent: Z
07/07/2012 16:13:17: Drill Location = (0, 0, 7); Message: Data Sent: E
07/07/2012 16:13:17: Drill Location = (0, 0, 7); Message: Data Sent: BZE
07/07/2012 16:13:17: Drill Location = (0, 0, 7); Message: Data Sent: B
