CNC Machine Opened at 07/07/2012 19:24:56
07/07/2012 19:25:07: Drill Location = (0, 0, 0); Message: UART Open
07/07/2012 19:25:09: Drill Location = (0, 0, 0); Message: Data Sent: B
07/07/2012 19:25:09: Drill Location = (0, 0, 0); Message: Data Sent: R
07/07/2012 19:25:09: Drill Location = (0, 0, 0); Message: Data Sent: E
07/07/2012 19:25:09: Drill Location = (0, 0, 0); Message: Data Sent: BRE
07/07/2012 19:25:09: Drill Location = (0, 0, 0); Message: Received: D
07/07/2012 19:25:11: Drill Location = (0, 0, 0); Message: Data Sent: B
07/07/2012 19:25:11: Drill Location = (0, 0, 0); Message: Data Sent: z
07/07/2012 19:25:11: Drill Location = (0, 0, -1); Message: Data Sent: E
07/07/2012 19:25:11: Drill Location = (0, 0, -1); Message: Data Sent: BzE
07/07/2012 19:25:11: Drill Location = (0, 0, -2); Message: Received: D
07/07/2012 19:25:11: Drill Location = (0, 0, -2); Message: Data Sent: B
07/07/2012 19:25:11: Drill Location = (0, 0, -2); Message: Data Sent: z
07/07/2012 19:25:11: Drill Location = (0, 0, -3); Message: Data Sent: E
07/07/2012 19:25:11: Drill Location = (0, 0, -3); Message: Data Sent: BzE
07/07/2012 19:25:12: Drill Location = (0, 0, -4); Message: Received: D
07/07/2012 19:25:35: Drill Location = (0, 0, -4); Message: Data Sent: B
07/07/2012 19:25:35: Drill Location = (0, 0, -4); Message: Data Sent: z
07/07/2012 19:25:35: Drill Location = (0, 0, -5); Message: Data Sent: E
07/07/2012 19:25:35: Drill Location = (0, 0, -5); Message: Data Sent: BzE
07/07/2012 19:25:35: Drill Location = (0, 0, -6); Message: Received: D
07/07/2012 19:25:35: Drill Location = (0, 0, -6); Message: Data Sent: B
07/07/2012 19:25:35: Drill Location = (0, 0, -6); Message: Data Sent: z
07/07/2012 19:25:35: Drill Location = (0, 0, -7); Message: Data Sent: E
07/07/2012 19:25:35: Drill Location = (0, 0, -7); Message: Data Sent: BzE
07/07/2012 19:25:36: Drill Location = (0, 0, -8); Message: Received: D
07/07/2012 19:25:36: Drill Location = (0, 0, -8); Message: Data Sent: B
07/07/2012 19:25:36: Drill Location = (0, 0, -8); Message: Data Sent: z
07/07/2012 19:25:36: Drill Location = (0, 0, -9); Message: Data Sent: E
07/07/2012 19:25:36: Drill Location = (0, 0, -9); Message: Data Sent: BzE
07/07/2012 19:25:36: Drill Location = (0, 0, -10); Message: Received: D
07/07/2012 19:25:36: Drill Location = (0, 0, -10); Message: Data Sent: B
07/07/2012 19:25:36: Drill Location = (0, 0, -10); Message: Data Sent: z
07/07/2012 19:25:36: Drill Location = (0, 0, -11); Message: Data Sent: E
07/07/2012 19:25:36: Drill Location = (0, 0, -11); Message: Data Sent: BzE
07/07/2012 19:25:36: Drill Location = (0, 0, -12); Message: Received: D
07/07/2012 19:25:37: Drill Location = (0, 0, -12); Message: Data Sent: B
07/07/2012 19:25:37: Drill Location = (0, 0, -12); Message: Data Sent: z
07/07/2012 19:25:37: Drill Location = (0, 0, -13); Message: Data Sent: E
07/07/2012 19:25:37: Drill Location = (0, 0, -13); Message: Data Sent: BzE
07/07/2012 19:25:37: Drill Location = (0, 0, -14); Message: Received: D
07/07/2012 19:25:38: Drill Location = (0, 0, -14); Message: Data Sent: B
07/07/2012 19:25:38: Drill Location = (0, 0, -14); Message: Data Sent: z
07/07/2012 19:25:38: Drill Location = (0, 0, -15); Message: Data Sent: E
07/07/2012 19:25:38: Drill Location = (0, 0, -15); Message: Data Sent: BzE
07/07/2012 19:25:38: Drill Location = (0, 0, -16); Message: Received: D
07/07/2012 19:25:38: Drill Location = (0, 0, -16); Message: Data Sent: B
07/07/2012 19:25:38: Drill Location = (0, 0, -16); Message: Data Sent: z
07/07/2012 19:25:38: Drill Location = (0, 0, -17); Message: Data Sent: E
07/07/2012 19:25:38: Drill Location = (0, 0, -17); Message: Data Sent: BzE
07/07/2012 19:25:38: Drill Location = (0, 0, -18); Message: Data Sent: B
07/07/2012 19:25:38: Drill Location = (0, 0, -18); Message: Data Sent: z
07/07/2012 19:25:38: Drill Location = (0, 0, -19); Message: Data Sent: E
07/07/2012 19:25:38: Drill Location = (0, 0, -19); Message: Data Sent: BzE
07/07/2012 19:25:38: Drill Location = (0, 0, -20); Message: Received: D
07/07/2012 19:25:39: Drill Location = (0, 0, -20); Message: Data Sent: B
07/07/2012 19:25:39: Drill Location = (0, 0, -20); Message: Data Sent: z
07/07/2012 19:25:39: Drill Location = (0, 0, -21); Message: Data Sent: E
07/07/2012 19:25:39: Drill Location = (0, 0, -21); Message: Data Sent: BzE
07/07/2012 19:25:39: Drill Location = (0, 0, -22); Message: Received: D
07/07/2012 19:25:39: Drill Location = (0, 0, -22); Message: Data Sent: B
07/07/2012 19:25:39: Drill Location = (0, 0, -22); Message: Data Sent: z
07/07/2012 19:25:39: Drill Location = (0, 0, -23); Message: Data Sent: E
07/07/2012 19:25:39: Drill Location = (0, 0, -23); Message: Data Sent: BzE
07/07/2012 19:25:39: Drill Location = (0, 0, -24); Message: Received: D
07/07/2012 19:25:39: Drill Location = (0, 0, -24); Message: Data Sent: B
07/07/2012 19:25:39: Drill Location = (0, 0, -24); Message: Data Sent: z
07/07/2012 19:25:39: Drill Location = (0, 0, -25); Message: Data Sent: E
07/07/2012 19:25:39: Drill Location = (0, 0, -25); Message: Data Sent: BzE
07/07/2012 19:25:40: Drill Location = (0, 0, -26); Message: Received: D
07/07/2012 19:25:40: Drill Location = (0, 0, -26); Message: Data Sent: B
07/07/2012 19:25:40: Drill Location = (0, 0, -26); Message: Data Sent: z
07/07/2012 19:25:40: Drill Location = (0, 0, -27); Message: Data Sent: E
07/07/2012 19:25:40: Drill Location = (0, 0, -27); Message: Data Sent: BzE
07/07/2012 19:25:40: Drill Location = (0, 0, -28); Message: Received: D
07/07/2012 19:25:40: Drill Location = (0, 0, -28); Message: Data Sent: B
07/07/2012 19:25:40: Drill Location = (0, 0, -28); Message: Data Sent: z
07/07/2012 19:25:40: Drill Location = (0, 0, -29); Message: Data Sent: E
07/07/2012 19:25:40: Drill Location = (0, 0, -29); Message: Data Sent: BzE
07/07/2012 19:25:41: Drill Location = (0, 0, -30); Message: Received: D
07/07/2012 19:25:41: Drill Location = (0, 0, -30); Message: Data Sent: B
07/07/2012 19:25:41: Drill Location = (0, 0, -30); Message: Data Sent: z
07/07/2012 19:25:41: Drill Location = (0, 0, -31); Message: Data Sent: E
