CNC Machine Opened at 03/07/2012 21:12:37
03/07/2012 21:12:44: Drill Location = (0, 0, 0); Message: UART Open
03/07/2012 21:12:46: Drill Location = (0, 0, 0); Message: Data Sent: Z
03/07/2012 21:12:46: Drill Location = (0, 0, 1); Message: Received: K
03/07/2012 21:12:46: Drill Location = (0, 0, 1); Message: Received: D
03/07/2012 21:12:47: Drill Location = (0, 0, 1); Message: Data Sent: Z
03/07/2012 21:12:47: Drill Location = (0, 0, 2); Message: Received: K
03/07/2012 21:12:47: Drill Location = (0, 0, 2); Message: Received: D
03/07/2012 21:12:47: Drill Location = (0, 0, 2); Message: Data Sent: Z
03/07/2012 21:12:47: Drill Location = (0, 0, 3); Message: Received: K
03/07/2012 21:12:47: Drill Location = (0, 0, 3); Message: Data Sent: Z
03/07/2012 21:12:47: Drill Location = (0, 0, 4); Message: Received: K
03/07/2012 21:12:48: Drill Location = (0, 0, 4); Message: Received: D
03/07/2012 21:12:48: Drill Location = (0, 0, 4); Message: Data Sent: Z
03/07/2012 21:12:48: Drill Location = (0, 0, 5); Message: Received: K
03/07/2012 21:12:48: Drill Location = (0, 0, 5); Message: Data Sent: Z
03/07/2012 21:12:48: Drill Location = (0, 0, 6); Message: Received: K
03/07/2012 21:12:48: Drill Location = (0, 0, 6); Message: Received: D
03/07/2012 21:12:48: Drill Location = (0, 0, 6); Message: Data Sent: Z
03/07/2012 21:12:48: Drill Location = (0, 0, 7); Message: Received: K
03/07/2012 21:12:48: Drill Location = (0, 0, 7); Message: Data Sent: Z
03/07/2012 21:12:48: Drill Location = (0, 0, 8); Message: Received: K
03/07/2012 21:12:48: Drill Location = (0, 0, 8); Message: Received: D
03/07/2012 21:12:49: Drill Location = (0, 0, 8); Message: Data Sent: Z
03/07/2012 21:12:49: Drill Location = (0, 0, 9); Message: Received: K
03/07/2012 21:12:49: Drill Location = (0, 0, 9); Message: Data Sent: Z
03/07/2012 21:12:49: Drill Location = (0, 0, 10); Message: Received: K
03/07/2012 21:12:49: Drill Location = (0, 0, 10); Message: Received: D
03/07/2012 21:12:49: Drill Location = (0, 0, 10); Message: Data Sent: Z
03/07/2012 21:12:49: Drill Location = (0, 0, 11); Message: Received: K
03/07/2012 21:12:49: Drill Location = (0, 0, 11); Message: Data Sent: Z
03/07/2012 21:12:49: Drill Location = (0, 0, 12); Message: Received: K
03/07/2012 21:12:49: Drill Location = (0, 0, 12); Message: Received: D
03/07/2012 21:12:49: Drill Location = (0, 0, 12); Message: Data Sent: Z
03/07/2012 21:12:49: Drill Location = (0, 0, 13); Message: Received: K
03/07/2012 21:12:49: Drill Location = (0, 0, 13); Message: Data Sent: Z
03/07/2012 21:12:49: Drill Location = (0, 0, 14); Message: Received: K
03/07/2012 21:12:50: Drill Location = (0, 0, 14); Message: Received: D
03/07/2012 21:12:50: Drill Location = (0, 0, 14); Message: Data Sent: Z
03/07/2012 21:12:50: Drill Location = (0, 0, 15); Message: Received: K
03/07/2012 21:12:50: Drill Location = (0, 0, 15); Message: Data Sent: Z
03/07/2012 21:12:50: Drill Location = (0, 0, 16); Message: Received: K
03/07/2012 21:12:50: Drill Location = (0, 0, 16); Message: Received: D
