CNC Machine Opened at 07/07/2012 16:05:12
07/07/2012 16:05:13: Drill Location = (0, 0, 0); Message: UART Open
07/07/2012 16:05:14: Drill Location = (0, 0, 0); Message: Data Sent: B
07/07/2012 16:05:14: Drill Location = (0, 0, 0); Message: Data Sent: R
07/07/2012 16:05:14: Drill Location = (0, 0, 0); Message: Data Sent: E
07/07/2012 16:05:14: Drill Location = (0, 0, 0); Message: Data Sent: BRE
07/07/2012 16:05:14: Drill Location = (0, 0, 0); Message: Received: D
07/07/2012 16:05:19: Drill Location = (0, 0, 0); Message: Data Sent: B
07/07/2012 16:05:19: Drill Location = (0, 0, 0); Message: Data Sent: X
07/07/2012 16:05:19: Drill Location = (1, 0, 0); Message: Data Sent: E
07/07/2012 16:05:19: Drill Location = (1, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:19: Drill Location = (1, 0, 0); Message: Received: D
07/07/2012 16:05:20: Drill Location = (1, 0, 0); Message: Data Sent: B
07/07/2012 16:05:20: Drill Location = (1, 0, 0); Message: Data Sent: X
07/07/2012 16:05:20: Drill Location = (2, 0, 0); Message: Data Sent: E
07/07/2012 16:05:20: Drill Location = (2, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:20: Drill Location = (2, 0, 0); Message: Received: D
07/07/2012 16:05:20: Drill Location = (2, 0, 0); Message: Data Sent: B
07/07/2012 16:05:20: Drill Location = (2, 0, 0); Message: Data Sent: X
07/07/2012 16:05:20: Drill Location = (3, 0, 0); Message: Data Sent: E
07/07/2012 16:05:20: Drill Location = (3, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:20: Drill Location = (3, 0, 0); Message: Received: D
07/07/2012 16:05:20: Drill Location = (3, 0, 0); Message: Data Sent: B
07/07/2012 16:05:20: Drill Location = (3, 0, 0); Message: Data Sent: X
07/07/2012 16:05:20: Drill Location = (4, 0, 0); Message: Data Sent: E
07/07/2012 16:05:20: Drill Location = (4, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:21: Drill Location = (4, 0, 0); Message: Received: D
07/07/2012 16:05:21: Drill Location = (4, 0, 0); Message: Data Sent: B
07/07/2012 16:05:21: Drill Location = (4, 0, 0); Message: Data Sent: X
07/07/2012 16:05:21: Drill Location = (5, 0, 0); Message: Data Sent: E
07/07/2012 16:05:21: Drill Location = (5, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:21: Drill Location = (5, 0, 0); Message: Received: D
07/07/2012 16:05:21: Drill Location = (5, 0, 0); Message: Data Sent: B
07/07/2012 16:05:21: Drill Location = (5, 0, 0); Message: Data Sent: X
07/07/2012 16:05:21: Drill Location = (6, 0, 0); Message: Data Sent: E
07/07/2012 16:05:21: Drill Location = (6, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:21: Drill Location = (6, 0, 0); Message: Data Sent: B
07/07/2012 16:05:21: Drill Location = (6, 0, 0); Message: Data Sent: X
07/07/2012 16:05:21: Drill Location = (7, 0, 0); Message: Data Sent: E
07/07/2012 16:05:21: Drill Location = (7, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:21: Drill Location = (7, 0, 0); Message: Received: D
07/07/2012 16:05:22: Drill Location = (7, 0, 0); Message: Data Sent: B
07/07/2012 16:05:22: Drill Location = (7, 0, 0); Message: Data Sent: X
07/07/2012 16:05:22: Drill Location = (8, 0, 0); Message: Data Sent: E
07/07/2012 16:05:22: Drill Location = (8, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:22: Drill Location = (8, 0, 0); Message: Received: D
07/07/2012 16:05:22: Drill Location = (8, 0, 0); Message: Data Sent: B
07/07/2012 16:05:22: Drill Location = (8, 0, 0); Message: Data Sent: X
07/07/2012 16:05:22: Drill Location = (9, 0, 0); Message: Data Sent: E
07/07/2012 16:05:22: Drill Location = (9, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:22: Drill Location = (9, 0, 0); Message: Received: D
07/07/2012 16:05:22: Drill Location = (9, 0, 0); Message: Data Sent: B
07/07/2012 16:05:22: Drill Location = (9, 0, 0); Message: Data Sent: X
07/07/2012 16:05:22: Drill Location = (10, 0, 0); Message: Data Sent: E
07/07/2012 16:05:22: Drill Location = (10, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:22: Drill Location = (10, 0, 0); Message: Data Sent: B
07/07/2012 16:05:22: Drill Location = (10, 0, 0); Message: Data Sent: X
07/07/2012 16:05:22: Drill Location = (11, 0, 0); Message: Data Sent: E
07/07/2012 16:05:22: Drill Location = (11, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:22: Drill Location = (11, 0, 0); Message: Received: D
07/07/2012 16:05:23: Drill Location = (11, 0, 0); Message: Data Sent: B
07/07/2012 16:05:23: Drill Location = (11, 0, 0); Message: Data Sent: X
07/07/2012 16:05:23: Drill Location = (12, 0, 0); Message: Data Sent: E
07/07/2012 16:05:23: Drill Location = (12, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:23: Drill Location = (12, 0, 0); Message: Data Sent: B
07/07/2012 16:05:23: Drill Location = (12, 0, 0); Message: Data Sent: X
07/07/2012 16:05:23: Drill Location = (13, 0, 0); Message: Data Sent: E
07/07/2012 16:05:23: Drill Location = (13, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:23: Drill Location = (13, 0, 0); Message: Received: D
07/07/2012 16:05:23: Drill Location = (13, 0, 0); Message: Data Sent: B
07/07/2012 16:05:23: Drill Location = (13, 0, 0); Message: Data Sent: X
07/07/2012 16:05:23: Drill Location = (14, 0, 0); Message: Data Sent: E
07/07/2012 16:05:23: Drill Location = (14, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:23: Drill Location = (14, 0, 0); Message: Received: D
07/07/2012 16:05:23: Drill Location = (14, 0, 0); Message: Data Sent: B
07/07/2012 16:05:23: Drill Location = (14, 0, 0); Message: Data Sent: X
07/07/2012 16:05:23: Drill Location = (15, 0, 0); Message: Data Sent: E
07/07/2012 16:05:23: Drill Location = (15, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:24: Drill Location = (15, 0, 0); Message: Received: D
07/07/2012 16:05:24: Drill Location = (15, 0, 0); Message: Data Sent: B
07/07/2012 16:05:24: Drill Location = (15, 0, 0); Message: Data Sent: X
07/07/2012 16:05:24: Drill Location = (16, 0, 0); Message: Data Sent: E
07/07/2012 16:05:24: Drill Location = (16, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:24: Drill Location = (16, 0, 0); Message: Data Sent: B
07/07/2012 16:05:24: Drill Location = (16, 0, 0); Message: Data Sent: X
07/07/2012 16:05:24: Drill Location = (17, 0, 0); Message: Data Sent: E
07/07/2012 16:05:24: Drill Location = (17, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:24: Drill Location = (17, 0, 0); Message: Received: D
07/07/2012 16:05:24: Drill Location = (17, 0, 0); Message: Data Sent: B
07/07/2012 16:05:24: Drill Location = (17, 0, 0); Message: Data Sent: X
07/07/2012 16:05:24: Drill Location = (18, 0, 0); Message: Data Sent: E
07/07/2012 16:05:24: Drill Location = (18, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:25: Drill Location = (18, 0, 0); Message: Data Sent: B
07/07/2012 16:05:25: Drill Location = (18, 0, 0); Message: Data Sent: X
07/07/2012 16:05:25: Drill Location = (19, 0, 0); Message: Data Sent: E
07/07/2012 16:05:25: Drill Location = (19, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:25: Drill Location = (19, 0, 0); Message: Received: D
07/07/2012 16:05:25: Drill Location = (19, 0, 0); Message: Data Sent: B
07/07/2012 16:05:25: Drill Location = (19, 0, 0); Message: Data Sent: X
07/07/2012 16:05:25: Drill Location = (20, 0, 0); Message: Data Sent: E
07/07/2012 16:05:25: Drill Location = (20, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:25: Drill Location = (20, 0, 0); Message: Received: D
07/07/2012 16:05:25: Drill Location = (20, 0, 0); Message: Received: D
07/07/2012 16:05:25: Drill Location = (20, 0, 0); Message: Data Sent: X
07/07/2012 16:05:25: Drill Location = (21, 0, 0); Message: Data Sent: E
07/07/2012 16:05:25: Drill Location = (21, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:26: Drill Location = (21, 0, 0); Message: Data Sent: B
07/07/2012 16:05:26: Drill Location = (21, 0, 0); Message: Data Sent: X
07/07/2012 16:05:26: Drill Location = (22, 0, 0); Message: Data Sent: E
07/07/2012 16:05:26: Drill Location = (22, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:26: Drill Location = (22, 0, 0); Message: Received: D
07/07/2012 16:05:26: Drill Location = (22, 0, 0); Message: Received: D
07/07/2012 16:05:26: Drill Location = (22, 0, 0); Message: Data Sent: B
07/07/2012 16:05:26: Drill Location = (22, 0, 0); Message: Data Sent: X
07/07/2012 16:05:26: Drill Location = (23, 0, 0); Message: Data Sent: E
07/07/2012 16:05:26: Drill Location = (23, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:26: Drill Location = (23, 0, 0); Message: Received: D
07/07/2012 16:05:26: Drill Location = (23, 0, 0); Message: Data Sent: B
07/07/2012 16:05:26: Drill Location = (23, 0, 0); Message: Data Sent: X
07/07/2012 16:05:26: Drill Location = (24, 0, 0); Message: Data Sent: E
07/07/2012 16:05:26: Drill Location = (24, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:27: Drill Location = (24, 0, 0); Message: Received: D
07/07/2012 16:05:27: Drill Location = (24, 0, 0); Message: Data Sent: B
07/07/2012 16:05:27: Drill Location = (24, 0, 0); Message: Data Sent: X
07/07/2012 16:05:27: Drill Location = (25, 0, 0); Message: Data Sent: E
07/07/2012 16:05:27: Drill Location = (25, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:27: Drill Location = (25, 0, 0); Message: Received: D
07/07/2012 16:05:27: Drill Location = (25, 0, 0); Message: Data Sent: B
07/07/2012 16:05:27: Drill Location = (25, 0, 0); Message: Data Sent: X
07/07/2012 16:05:27: Drill Location = (26, 0, 0); Message: Data Sent: E
07/07/2012 16:05:27: Drill Location = (26, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:27: Drill Location = (26, 0, 0); Message: Received: D
07/07/2012 16:05:27: Drill Location = (26, 0, 0); Message: Data Sent: B
07/07/2012 16:05:27: Drill Location = (26, 0, 0); Message: Data Sent: X
07/07/2012 16:05:27: Drill Location = (27, 0, 0); Message: Data Sent: E
07/07/2012 16:05:27: Drill Location = (27, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:28: Drill Location = (27, 0, 0); Message: Received: D
07/07/2012 16:05:28: Drill Location = (27, 0, 0); Message: Data Sent: B
07/07/2012 16:05:28: Drill Location = (27, 0, 0); Message: Data Sent: X
07/07/2012 16:05:28: Drill Location = (28, 0, 0); Message: Data Sent: E
07/07/2012 16:05:28: Drill Location = (28, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:28: Drill Location = (28, 0, 0); Message: Received: D
07/07/2012 16:05:28: Drill Location = (28, 0, 0); Message: Data Sent: B
07/07/2012 16:05:28: Drill Location = (28, 0, 0); Message: Data Sent: X
07/07/2012 16:05:28: Drill Location = (29, 0, 0); Message: Data Sent: E
07/07/2012 16:05:28: Drill Location = (29, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:28: Drill Location = (29, 0, 0); Message: Data Sent: B
07/07/2012 16:05:28: Drill Location = (29, 0, 0); Message: Data Sent: X
07/07/2012 16:05:28: Drill Location = (30, 0, 0); Message: Data Sent: E
07/07/2012 16:05:28: Drill Location = (30, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:28: Drill Location = (30, 0, 0); Message: Received: D
07/07/2012 16:05:28: Drill Location = (30, 0, 0); Message: Data Sent: B
07/07/2012 16:05:28: Drill Location = (30, 0, 0); Message: Data Sent: X
07/07/2012 16:05:28: Drill Location = (31, 0, 0); Message: Data Sent: E
07/07/2012 16:05:28: Drill Location = (31, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:29: Drill Location = (31, 0, 0); Message: Received: D
07/07/2012 16:05:29: Drill Location = (31, 0, 0); Message: Data Sent: B
07/07/2012 16:05:29: Drill Location = (31, 0, 0); Message: Data Sent: X
07/07/2012 16:05:29: Drill Location = (32, 0, 0); Message: Data Sent: E
07/07/2012 16:05:29: Drill Location = (32, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:29: Drill Location = (32, 0, 0); Message: Received: D
07/07/2012 16:05:29: Drill Location = (32, 0, 0); Message: Data Sent: B
07/07/2012 16:05:29: Drill Location = (32, 0, 0); Message: Data Sent: X
07/07/2012 16:05:29: Drill Location = (33, 0, 0); Message: Data Sent: E
07/07/2012 16:05:29: Drill Location = (33, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:29: Drill Location = (33, 0, 0); Message: Received: D
07/07/2012 16:05:29: Drill Location = (33, 0, 0); Message: Data Sent: B
07/07/2012 16:05:29: Drill Location = (33, 0, 0); Message: Data Sent: X
07/07/2012 16:05:29: Drill Location = (34, 0, 0); Message: Data Sent: E
07/07/2012 16:05:29: Drill Location = (34, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:30: Drill Location = (34, 0, 0); Message: Received: D
07/07/2012 16:05:30: Drill Location = (34, 0, 0); Message: Data Sent: B
07/07/2012 16:05:30: Drill Location = (34, 0, 0); Message: Data Sent: X
07/07/2012 16:05:30: Drill Location = (35, 0, 0); Message: Data Sent: E
07/07/2012 16:05:30: Drill Location = (35, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:30: Drill Location = (35, 0, 0); Message: Data Sent: B
07/07/2012 16:05:30: Drill Location = (35, 0, 0); Message: Data Sent: X
07/07/2012 16:05:30: Drill Location = (36, 0, 0); Message: Data Sent: E
07/07/2012 16:05:30: Drill Location = (36, 0, 0); Message: Data Sent: BXE
07/07/2012 16:05:30: Drill Location = (36, 0, 0); Message: Received: D
07/07/2012 16:05:30: Drill Location = (36, 0, 0); Message: Data Sent: B
07/07/2012 16:05:30: Drill Location = (36, 0, 0); Message: Data Sent: X
