CNC Machine Opened at 07/07/2012 18:25:23
07/07/2012 18:25:26: Drill Location = (0, 0, 0); Message: UART Open
07/07/2012 18:25:27: Drill Location = (0, 0, 0); Message: Data Sent: B
07/07/2012 18:25:27: Drill Location = (0, 0, 0); Message: Data Sent: R
07/07/2012 18:25:27: Drill Location = (0, 0, 0); Message: Data Sent: E
07/07/2012 18:25:27: Drill Location = (0, 0, 0); Message: Data Sent: BRE
07/07/2012 18:25:27: Drill Location = (0, 0, 0); Message: Received: D
07/07/2012 18:25:47: Drill Location = (0, 0, 0); Message: Data Sent: B
07/07/2012 18:25:47: Drill Location = (0, 0, 0); Message: Data Sent: S
07/07/2012 18:25:47: Drill Location = (0, 0, 0); Message: Data Sent: E
07/07/2012 18:25:47: Drill Location = (0, 0, 0); Message: Data Sent: BSE
07/07/2012 18:25:47: Drill Location = (0, 0, 0); Message: Received: D
07/07/2012 18:25:47: Drill Location = (0, 0, 0); Message: Data Sent: B
07/07/2012 18:25:47: Drill Location = (0, 0, 0); Message: Data Sent: R
07/07/2012 18:25:47: Drill Location = (0, 0, 0); Message: Data Sent: E
07/07/2012 18:25:47: Drill Location = (0, 0, 0); Message: Data Sent: BRE
07/07/2012 18:25:47: Drill Location = (0, 0, 0); Message: Received: D
07/07/2012 18:25:49: Drill Location = (0, 0, 0); Message: Data Sent: B
07/07/2012 18:25:49: Drill Location = (0, 0, 0); Message: Data Sent: S
07/07/2012 18:25:49: Drill Location = (0, 0, 0); Message: Data Sent: E
07/07/2012 18:25:49: Drill Location = (0, 0, 0); Message: Data Sent: BSE
07/07/2012 18:25:49: Drill Location = (0, 0, 0); Message: Received: D
07/07/2012 18:25:49: Drill Location = (0, 0, 0); Message: Data Sent: B
07/07/2012 18:25:49: Drill Location = (0, 0, 0); Message: Data Sent: R
07/07/2012 18:25:49: Drill Location = (0, 0, 0); Message: Data Sent: E
07/07/2012 18:25:49: Drill Location = (0, 0, 0); Message: Data Sent: BRE
07/07/2012 18:25:49: Drill Location = (0, 0, 0); Message: Received: D
07/07/2012 18:25:53: Drill Location = (0, 0, 0); Message: Data Sent: B
07/07/2012 18:25:53: Drill Location = (0, 0, 0); Message: Data Sent: Y
07/07/2012 18:25:53: Drill Location = (0, 1, 0); Message: Data Sent: E
07/07/2012 18:25:53: Drill Location = (0, 1, 0); Message: Data Sent: BYE
07/07/2012 18:25:53: Drill Location = (0, 1, 0); Message: Received: D
07/07/2012 18:25:53: Drill Location = (0, 1, 0); Message: Data Sent: B
07/07/2012 18:25:53: Drill Location = (0, 1, 0); Message: Data Sent: Y
07/07/2012 18:25:53: Drill Location = (0, 2, 0); Message: Data Sent: E
07/07/2012 18:25:53: Drill Location = (0, 2, 0); Message: Data Sent: BYE
07/07/2012 18:25:54: Drill Location = (0, 2, 0); Message: Received: D
07/07/2012 18:25:54: Drill Location = (0, 2, 0); Message: Data Sent: B
07/07/2012 18:25:54: Drill Location = (0, 2, 0); Message: Data Sent: Y
07/07/2012 18:25:54: Drill Location = (0, 3, 0); Message: Data Sent: E
